atp1 atp2 c12                    c12_45                 old_rc12               source
CH1  CH3  1.4922176228398963e-05 0.0001806952059302513  2.3737898549049355e-05 #atdhisto_c12
CH1  CH2r 2.2936907742668513e-05 2.448580108078591e-06  2.797690277700976e-05  #atdhisto_c12
CH1  S    1.3363407780104616e-05 0.0                    1.3363407780104616e-05 #rc12
CH1  SM   1.110557678004124e-05  0.0                    1.3363407780104616e-05 #atdhisto_c12
CH1  SH   8.20374377950018e-06   0.0                    1.3363407780104616e-05 #atdhisto_c12
CH1  H    1.0161170406288952e-06 1.736919907132888e-07  2.44900153315381e-07   #atdhisto_c12
CH1t CH1t 2.827720357903463e-05  0.00015106392932930527 6.555622223139519e-05  #atdhisto_c12
CH1t CAH  3.7172653432882377e-05 2.4604350727657302e-05 6.555622223139519e-05  #atdhisto_c12
CH1t CH2  1.9908604884064596e-05 0.00013386004153335797 3.181351786802196e-05  #atdhisto_c12
CH1t CAH2 1.2884910181278791e-05 2.6382245451254078e-05 3.181351786802196e-05  #atdhisto_c12
CH1t CH3  1.110557678004124e-05  0.00015106392932930527 2.3737898549049355e-05 #atdhisto_c12
CH1t CH2r 1.6047872836151582e-05 1.3319957855440268e-06 2.797690277700976e-05  #atdhisto_c12
CH1t S    1.3363407780104616e-05 0.0                    1.3363407780104616e-05 #rc12
CH1t SM   7.030422589392208e-06  0.0                    1.3363407780104616e-05 #atdhisto_c12
CH1t SH   5.556363657234973e-06  0.0                    1.3363407780104616e-05 #atdhisto_c12
CH1t H    1.9297259151556835e-07 1.1292692029579082e-07 2.44900153315381e-07   #atdhisto_c12
CAH  CAH  8.68129884517691e-05   0.0                    6.555622223139519e-05  #atdhisto_c12
CAH  CH2  2.6382245451254078e-05 2.827720357903463e-05  3.181351786802196e-05  #atdhisto_c12
CAH  CAH2 3.0296190868820765e-05 0.0                    3.181351786802196e-05  #atdhisto_c12
CAH  CH3  1.4922176228398963e-05 2.4604350727657302e-05 2.3737898549049355e-05 #atdhisto_c12
CAH  CH2r 1.853615051555947e-05  2.2936907742668513e-05 2.797690277700976e-05  #atdhisto_c12
CAH  S    1.3363407780104616e-05 0.0                    1.3363407780104616e-05 #rc12
CAH  SM   6.503393009784176e-06  0.0                    1.3363407780104616e-05 #atdhisto_c12
CAH  SH   7.030422589392208e-06  3.0296190868820765e-05 1.3363407780104616e-05 #atdhisto_c12
CAH  H    1.3319957855440268e-06 3.7144078137182355e-06 2.44900153315381e-07   #atdhisto_c12
CH2  CH2  1.110557678004124e-05  0.0001113988439841668  1.5438655320413708e-05 #atdhisto_c12
CH2  CAH2 8.20374377950018e-06   2.827720357903463e-05  1.5438655320413708e-05 #atdhisto_c12
CH2  CH3  5.556363657234973e-06  0.00013386004153335797 1.151967019963228e-05  #atdhisto_c12
